YEAR,ROUND,REGION,T1ID,T1SEED,T1SCORE,T1NAME,T1PTS,T1REB,T1AST,T1STL,T1BLK,T1TO,T1FG%,T1FT%,T13P%,T1W,T1L,T1HW,T1HL,T1AW,T1AL,T1BPI,T1SOS,T1SOR,T1REC,T1HREC,T1AREC,T2ID,T2SEED,T2SCORE,T2NAME,T2PTS,T2REB,T2AST,T2STL,T2BLK,T2TO,T2FG%,T2FT%,T23P%,T2W,T2L,T2HW,T2HL,T2AW,T2AL,T2BPI,T2SOS,T2SOR,T2REC,T2HREC,T2AREC,SEEDDIFF,BPIDIFF,SOSDIFF,SORDIFF,WINNER
2008,2.0,1.0,265,4,61,Washington State Cougars,67.1,29.2,13.7,6.3,2.9,10.3,47.8,73.3,38.1,26,9,9,4,9,3,13,21,13,0.743,0.692,0.75,87,5,41,Notre Dame Fighting Irish,80.6,41.6,18.9,6.4,3.8,13.0,45.9,73.6,41.0,25,8,17,0,5,4,24,52,17,0.758,1.0,0.556,-1,-11,-31,-4,0
2008,2.0,2.0,2305,1,75,Kansas Jayhawks,81.5,38.9,18.6,9.0,6.2,12.9,50.5,70.2,39.8,37,3,18,0,8,3,1,46,2,0.925,1.0,0.727,2439,8,56,UNLV Rebels,70.4,34.8,15.1,8.0,3.1,10.8,42.4,74.3,33.5,27,8,14,2,6,5,48,105,32,0.771,0.875,0.545,-7,-47,-59,-30,0
2008,2.0,2.0,46,2,70,Georgetown Hoyas,69.7,35.0,15.7,7.1,4.9,13.2,48.6,66.5,38.0,28,6,16,0,8,4,6,32,8,0.824,1.0,0.667,2166,10,74,Davidson Wildcats,78.7,37.1,17.3,8.1,3.5,12.2,47.3,71.9,36.4,29,7,12,0,11,3,11,93,21,0.806,1.0,0.786,-8,-5,-61,-13,1
2008,2.0,2.0,275,3,72,Wisconsin Badgers,67.3,35.9,12.8,6.3,3.3,12.1,45.0,70.9,35.9,31,5,14,2,10,1,8,64,9,0.861,0.875,0.909,2306,11,55,Kansas State Wildcats,78.7,41.4,15.9,7.7,3.6,15.3,44.3,68.9,32.1,21,12,14,2,3,6,37,48,42,0.636,0.875,0.333,-8,-29,16,-33,0
2008,2.0,2.0,2561,13,72,Siena Saints,76.8,33.9,14.5,9.4,3.6,11.1,45.1,68.3,38.3,23,11,10,4,9,5,88,168,95,0.676,0.714,0.643,222,12,84,Villanova Wildcats,72.8,36.1,13.7,8.1,2.9,14.1,42.9,72.3,34.2,22,13,12,3,4,7,45,15,31,0.629,0.8,0.364,1,43,153,64,1
2008,2.0,3.0,235,1,77,Memphis Tigers,79.7,40.8,16.0,8.7,6.1,12.2,46.6,59.6,35.0,38,2,17,1,9,0,3,76,3,0.95,0.944,1.0,344,8,74,Mississippi State Bulldogs,73.1,40.9,13.2,6.0,7.9,15.3,46.1,64.4,33.4,23,11,13,3,7,3,28,69,39,0.676,0.812,0.7,-7,-25,7,-36,0
2008,2.0,3.0,251,2,75,Texas Longhorns,75.6,37.8,12.9,6.2,5.2,9.4,45.3,68.9,38.5,31,7,17,1,6,4,17,25,7,0.816,0.944,0.6,2390,7,72,Miami Hurricanes,74.8,38.0,13.3,6.1,4.7,13.4,43.8,74.1,38.4,23,11,14,2,4,6,31,34,29,0.676,0.875,0.4,-5,-14,-9,-22,0
2008,2.0,3.0,24,3,82,Stanford Cardinal,70.7,38.8,14.2,4.4,5.2,12.3,44.9,69.6,36.0,28,8,13,1,7,5,16,24,10,0.778,0.929,0.583,269,6,81,Marquette Golden Eagles,75.8,36.6,14.8,9.6,3.8,13.2,44.7,70.2,35.3,25,10,15,2,6,5,15,26,16,0.714,0.882,0.545,-3,1,-2,-6,0
2008,2.0,3.0,221,4,54,Pittsburgh Panthers,74.1,37.8,15.9,6.8,3.3,12.2,45.9,65.8,34.0,27,10,14,2,5,7,19,12,11,0.73,0.875,0.417,127,5,65,Michigan State Spartans,71.3,37.2,17.6,6.1,4.4,13.7,48.0,73.1,37.3,27,9,15,0,4,6,18,33,15,0.75,1.0,0.4,-1,1,-21,-4,1
2008,2.0,4.0,26,1,51,UCLA Bruins,74.1,36.1,14.5,7.4,3.7,12.4,47.8,73.1,34.5,35,4,14,1,9,1,4,28,4,0.897,0.933,0.9,245,9,49,Texas A&M Aggies,71.5,39.3,13.4,4.5,4.2,12.8,46.6,63.7,35.8,25,11,14,4,4,4,23,49,28,0.694,0.778,0.5,-8,-19,-21,-24,0
2008,2.0,4.0,150,2,67,Duke Blue Devils,84.1,37.1,15.1,8.7,4.0,13.6,46.6,69.5,38.4,28,6,14,1,7,2,5,11,6,0.824,0.933,0.778,277,7,73,West Virginia Mountaineers,74.9,35.9,15.5,7.2,5.1,11.1,45.4,68.2,35.3,26,11,13,4,7,5,7,20,19,0.703,0.765,0.583,-5,-2,-9,-13,1
2008,2.0,4.0,2752,3,85,Xavier Musketeers,75.3,36.1,15.5,5.6,3.5,13.3,47.8,75.0,39.2,30,7,17,1,7,4,14,68,14,0.811,0.944,0.636,2509,6,78,Purdue Boilermakers,68.7,32.6,13.4,8.5,4.3,12.9,42.3,70.6,37.0,25,9,15,0,6,4,33,61,25,0.735,1.0,0.6,-3,-19,7,-11,0
2008,2.0,4.0,301,13,63,San Diego Toreros,65.6,33.7,13.3,6.8,3.1,15.0,45.0,67.6,34.3,22,14,10,5,7,6,136,99,93,0.611,0.667,0.538,98,12,72,Western Kentucky Hilltoppers,76.8,35.0,12.6,7.8,3.7,14.2,47.3,69.8,38.9,29,7,13,1,9,3,53,194,48,0.806,0.929,0.75,1,83,-95,45,1
2008,3.0,1.0,153,1,68,North Carolina Tar Heels,88.7,44.2,16.7,8.3,4.6,14.7,48.2,75.4,37.8,36,3,14,2,11,0,2,9,1,0.923,0.875,1.0,265,4,47,Washington State Cougars,67.1,29.2,13.7,6.3,2.9,10.3,47.8,73.3,38.1,26,9,9,4,9,3,13,21,13,0.743,0.692,0.75,-3,-11,-12,-12,0
2008,3.0,1.0,2633,2,60,Tennessee Volunteers,83.0,38.1,18.2,9.3,3.4,12.8,46.1,65.6,36.2,31,5,14,0,11,2,9,19,5,0.861,1.0,0.846,97,3,79,Louisville Cardinals,71.9,37.8,14.8,8.1,4.9,13.3,45.3,65.5,34.2,27,9,13,2,8,3,10,14,12,0.75,0.867,0.727,-1,-1,5,-7,1
2008,3.0,2.0,2305,1,72,Kansas Jayhawks,81.5,38.9,18.6,9.0,6.2,12.9,50.5,70.2,39.8,37,3,18,0,8,3,1,46,2,0.925,1.0,0.727,222,12,57,Villanova Wildcats,72.8,36.1,13.7,8.1,2.9,14.1,42.9,72.3,34.2,22,13,12,3,4,7,45,15,31,0.629,0.8,0.364,-11,-44,31,-29,0
2008,3.0,2.0,2166,10,73,Davidson Wildcats,78.7,37.1,17.3,8.1,3.5,12.2,47.3,71.9,36.4,29,7,12,0,11,3,11,93,21,0.806,1.0,0.786,275,3,56,Wisconsin Badgers,67.3,35.9,12.8,6.3,3.3,12.1,45.0,70.9,35.9,31,5,14,2,10,1,8,64,9,0.861,0.875,0.909,7,3,29,12,0
2008,3.0,3.0,235,1,92,Memphis Tigers,79.7,40.8,16.0,8.7,6.1,12.2,46.6,59.6,35.0,38,2,17,1,9,0,3,76,3,0.95,0.944,1.0,127,5,74,Michigan State Spartans,71.3,37.2,17.6,6.1,4.4,13.7,48.0,73.1,37.3,27,9,15,0,4,6,18,33,15,0.75,1.0,0.4,-4,-15,43,-12,0
2008,3.0,3.0,251,2,82,Texas Longhorns,75.6,37.8,12.9,6.2,5.2,9.4,45.3,68.9,38.5,31,7,17,1,6,4,17,25,7,0.816,0.944,0.6,24,3,62,Stanford Cardinal,70.7,38.8,14.2,4.4,5.2,12.3,44.9,69.6,36.0,28,8,13,1,7,5,16,24,10,0.778,0.929,0.583,-1,1,1,-3,0
2008,3.0,4.0,26,1,88,UCLA Bruins,74.1,36.1,14.5,7.4,3.7,12.4,47.8,73.1,34.5,35,4,14,1,9,1,4,28,4,0.897,0.933,0.9,98,12,78,Western Kentucky Hilltoppers,76.8,35.0,12.6,7.8,3.7,14.2,47.3,69.8,38.9,29,7,13,1,9,3,53,194,48,0.806,0.929,0.75,-11,-49,-166,-44,0
2008,3.0,4.0,277,7,75,West Virginia Mountaineers,74.9,35.9,15.5,7.2,5.1,11.1,45.4,68.2,35.3,26,11,13,4,7,5,7,20,19,0.703,0.765,0.583,2752,3,79,Xavier Musketeers,75.3,36.1,15.5,5.6,3.5,13.3,47.8,75.0,39.2,30,7,17,1,7,4,14,68,14,0.811,0.944,0.636,4,-7,-48,5,1
2008,4.0,1.0,153,1,83,North Carolina Tar Heels,88.7,44.2,16.7,8.3,4.6,14.7,48.2,75.4,37.8,36,3,14,2,11,0,2,9,1,0.923,0.875,1.0,97,3,73,Louisville Cardinals,71.9,37.8,14.8,8.1,4.9,13.3,45.3,65.5,34.2,27,9,13,2,8,3,10,14,12,0.75,0.867,0.727,-2,-8,-5,-11,0
2008,4.0,2.0,2305,1,59,Kansas Jayhawks,81.5,38.9,18.6,9.0,6.2,12.9,50.5,70.2,39.8,37,3,18,0,8,3,1,46,2,0.925,1.0,0.727,2166,10,57,Davidson Wildcats,78.7,37.1,17.3,8.1,3.5,12.2,47.3,71.9,36.4,29,7,12,0,11,3,11,93,21,0.806,1.0,0.786,-9,-10,-47,-19,0
2008,4.0,3.0,235,1,85,Memphis Tigers,79.7,40.8,16.0,8.7,6.1,12.2,46.6,59.6,35.0,38,2,17,1,9,0,3,76,3,0.95,0.944,1.0,251,2,67,Texas Longhorns,75.6,37.8,12.9,6.2,5.2,9.4,45.3,68.9,38.5,31,7,17,1,6,4,17,25,7,0.816,0.944,0.6,-1,-14,51,-4,0
2008,4.0,4.0,26,1,76,UCLA Bruins,74.1,36.1,14.5,7.4,3.7,12.4,47.8,73.1,34.5,35,4,14,1,9,1,4,28,4,0.897,0.933,0.9,2752,3,57,Xavier Musketeers,75.3,36.1,15.5,5.6,3.5,13.3,47.8,75.0,39.2,30,7,17,1,7,4,14,68,14,0.811,0.944,0.636,-2,-10,-40,-10,0
2008,5.0,1.0,153,1,66,North Carolina Tar Heels,88.7,44.2,16.7,8.3,4.6,14.7,48.2,75.4,37.8,36,3,14,2,11,0,2,9,1,0.923,0.875,1.0,2305,1,84,Kansas Jayhawks,81.5,38.9,18.6,9.0,6.2,12.9,50.5,70.2,39.8,37,3,18,0,8,3,1,46,2,0.925,1.0,0.727,0,1,-37,-1,1
2008,5.0,2.0,235,1,78,Memphis Tigers,79.7,40.8,16.0,8.7,6.1,12.2,46.6,59.6,35.0,38,2,17,1,9,0,3,76,3,0.95,0.944,1.0,26,1,63,UCLA Bruins,74.1,36.1,14.5,7.4,3.7,12.4,47.8,73.1,34.5,35,4,14,1,9,1,4,28,4,0.897,0.933,0.9,0,-1,48,-1,0
2008,6.0,1.0,2305,1,75,Kansas Jayhawks,81.5,38.9,18.6,9.0,6.2,12.9,50.5,70.2,39.8,37,3,18,0,8,3,1,46,2,0.925,1.0,0.727,235,1,68,Memphis Tigers,79.7,40.8,16.0,8.7,6.1,12.2,46.6,59.6,35.0,38,2,17,1,9,0,3,76,3,0.95,0.944,1.0,0,-2,-30,-1,0
2009,1.0,1.0,97,1,74,Louisville Cardinals,73.9,38.0,16.6,9.3,6.2,13.7,45.1,64.3,36.0,31,6,17,2,8,1,6,32,6,0.838,0.895,0.889,2413,16,54,Morehead State Eagles,70.6,38.9,12.9,6.7,4.0,15.2,44.1,72.0,33.4,20,16,12,1,3,12,150,181,162,0.556,0.923,0.2,-15,-144,-149,-156,0
2009,1.0,1.0,127,2,77,Michigan State Spartans,71.9,38.9,15.9,6.4,2.8,14.0,45.5,68.6,35.3,31,7,12,2,9,1,13,8,4,0.816,0.857,0.9,2523,15,62,Robert Morris Colonials,70.7,33.3,15.3,8.6,3.4,15.4,47.6,70.7,39.7,24,11,14,2,10,7,114,232,112,0.686,0.875,0.588,-13,-101,-224,-108,0
2009,1.0,1.0,2305,3,84,Kansas Jayhawks,77.1,38.9,16.2,6.9,4.3,14.6,47.9,72.8,38.0,27,8,18,1,6,4,11,44,15,0.771,0.947,0.6,2449,14,74,North Dakota State Bison,80.8,35.5,14.9,7.1,3.3,11.3,48.9,73.8,41.2,26,7,12,1,10,4,49,251,69,0.788,0.923,0.714,-11,-38,-207,-54,0
