Year,Round,Region Number,Region Name,Seed,Score,Team1,Team2,Score,Seed,team1id,team2id
2012,3,3,East,2,81,Ohio St,Cincinnati,66,6,194,2132
2012,3,4,Midwest,1,73,North Carolina,Ohio,65,13,153,195
2012,3,4,Midwest,2,60,Kansas,NC State,57,11,2305,152
2012,4,1,South,1,82,Kentucky,Baylor,70,3,96,239
2012,4,2,West,4,72,Louisville,Florida,68,7,97,57
2012,4,3,East,1,70,Syracuse,Ohio St,77,2,183,194
2012,4,4,Midwest,1,67,North Carolina,Kansas,80,2,153,2305
2012,5,1,Final Four,1,69,Kentucky,Louisville,61,4,96,97
2012,5,2,Final Four,2,62,Ohio St,Kansas,64,2,194,2305
2012,6,1,Championship,1,67,Kentucky,Kansas,59,2,96,2305
2013,1,1,Midwest,1,79,Louisville,North Carolina A&T,48,16,97,2448
2013,1,1,Midwest,2,73,Duke,Albany,61,15,150,399
2013,1,1,Midwest,3,65,Michigan St,Valparaiso,54,14,127,2674
2013,1,1,Midwest,4,64,St Louis,New Mexico St,44,13,139,166
2013,1,1,Midwest,5,55,Oklahoma St,Oregon,68,12,197,2483
2013,1,1,Midwest,6,54,Memphis,St Marys,52,11,235,116
2013,1,1,Midwest,7,67,Creighton,Cincinnati,63,10,156,2132
2013,1,1,Midwest,8,84,Colorado St,Missouri,72,9,36,142
2013,1,2,West,1,64,Gonzaga,Southern,58,16,2250,2582
2013,1,2,West,2,95,Ohio St,Iona,70,15,194,314
2013,1,2,West,3,62,New Mexico,Harvard,68,14,167,108
2013,1,2,West,4,61,Kansas St,La Salle,63,13,2306,2325
2013,1,2,West,5,46,Wisconsin,Ole Miss,57,12,275,145
2013,1,2,West,6,81,Arizona,Belmont,64,11,12,2057
2013,1,2,West,7,58,Notre Dame,Iowa St,76,10,87,66
2013,1,2,West,8,55,Pittsburgh,Wichita St,73,9,221,2724
2013,1,3,South,1,64,Kansas,Western Kentucky,57,16,2305,98
2013,1,3,South,2,68,Georgetown,Florida Gulf Coast,78,15,46,526
2013,1,3,South,3,79,Florida,Northwestern St,47,14,57,2466
2013,1,3,South,4,71,Michigan,South Dakota St,56,13,130,2571
2013,1,3,South,5,88,VCU,Akron,42,12,2670,2006
2013,1,3,South,6,63,UCLA,Minnesota,83,11,26,135
2013,1,3,South,7,70,San Diego St,Oklahoma,55,10,21,201
2013,1,3,South,8,78,North Carolina,Villanova,71,9,153,222
2013,1,4,East,1,83,Indiana,James Madison,62,16,84,256
2013,1,4,East,2,78,Miami,Pacific,49,15,2390,279
2013,1,4,East,3,59,Marquette,Davidson,58,14,269,2166
2013,1,4,East,4,81,Syracuse,Montana,34,13,183,149
2013,1,4,East,5,61,UNLV,California,64,12,2439,25
2013,1,4,East,6,68,Butler,Bucknell,56,11,2086,2083
2013,1,4,East,7,57,Illinois,Colorado,49,10,356,38
2013,1,4,East,8,72,NC State,Temple,76,9,152,218
2013,2,1,Midwest,1,82,Louisville,Colorado St,56,8,97,36
2013,2,1,Midwest,2,66,Duke,Creighton,50,7,150,156
2013,2,1,Midwest,3,70,Michigan St,Memphis,48,6,127,235
2013,2,1,Midwest,4,57,St Louis,Oregon,74,12,139,2483
2013,2,2,West,1,70,Gonzaga,Wichita St,76,9,2250,2724
2013,2,2,West,2,78,Ohio St,Iowa St,75,10,194,66
2013,2,2,West,14,51,Harvard,Arizona,74,6,108,12
2013,2,2,West,13,76,La Salle,Ole Miss,74,12,2325,145
2013,2,3,South,1,70,Kansas,North Carolina,58,8,2305,153
